hours_studied,attendance,previous_gpa,tutoring_sessions,sleep_hours,stress_level,screen_time,exam_anxiety,gender,age,part_time_job,study_method,diet_quality,internet_quality,extracurricular,family_income,final_grade,final_gpa,risk_status
9.01,59.27,3.92,2,5.55,10,8.2,10,female,22,no,hybrid,good,poor,no,high,D,2.24,At Risk
3.63,67.83,3.22,6,6.26,0,3.73,9,female,21,yes,hybrid,poor,excellent,no,low,B,3.28,Not At Risk
10.27,73.52,3.21,2,8.14,1,11.63,4,female,27,yes,hybrid,poor,excellent,yes,low,A,3.95,Not At Risk
7.08,66.56,1.84,5,9.26,0,3.69,1,female,29,no,hybrid,poor,good,no,high,A,3.86,Not At Risk
2.04,48.93,2.94,3,8.11,8,3.18,1,male,22,yes,online,poor,average,yes,middle,D,2.06,At Risk
7.17,43.16,3.48,3,4.92,2,5.52,8,male,29,yes,online,average,excellent,yes,middle,B,3.13,Not At Risk
6.91,77.47,3.49,6,9.02,10,8.83,2,female,29,no,online,good,average,no,high,B,3.11,Not At Risk
3.22,84.66,1.83,2,8.59,10,4.7,6,male,20,yes,offline,good,excellent,no,low,F,0.12,At Risk
2.34,44.42,2.46,6,7.73,8,4.27,8,female,16,no,hybrid,good,poor,no,low,F,0.63,At Risk
9.57,66.25,1.02,4,5.33,2,0.98,5,male,17,yes,offline,average,average,yes,high,A,3.79,Not At Risk
7.58,56.42,2.3,4,4.05,3,8.6,10,female,23,yes,offline,good,good,no,high,C,2.83,Not At Risk
2.47,61.92,2.14,7,8.97,10,5.35,4,male,25,no,hybrid,poor,average,yes,middle,D,2.11,At Risk
2.74,98.46,1.25,1,8.87,2,7.31,8,female,20,yes,online,poor,good,yes,high,D,2.35,At Risk
7.98,52.95,3.7,4,5.7,8,5.89,5,female,24,yes,online,poor,poor,no,high,C,2.92,Not At Risk
0.78,94.03,2.94,5,7.3,1,6.11,6,female,19,no,offline,average,poor,no,high,B,3.15,Not At Risk
10.75,59.7,2.79,1,5.85,3,7.94,8,male,22,yes,online,good,excellent,yes,middle,B,3.05,Not At Risk
9.27,99.29,2.01,0,7.46,0,7.27,1,male,28,no,hybrid,average,good,yes,low,A,3.62,Not At Risk
2.65,91.3,2.26,1,9.13,2,8.67,1,male,21,yes,online,poor,average,no,high,B,3.43,Not At Risk
2.15,61.79,3.52,7,5.23,8,7.85,4,male,19,no,offline,poor,poor,no,low,D,2.16,At Risk
10.58,66.71,3.07,6,5.42,10,4.17,3,male,27,no,hybrid,poor,poor,no,high,B,3.19,Not At Risk
7.34,87.0,3.86,2,7.21,9,2.0,0,female,21,no,online,good,excellent,yes,high,A,3.63,Not At Risk
7.32,65.33,1.78,3,8.21,4,4.8,3,male,27,no,online,poor,good,no,middle,B,3.42,Not At Risk
1.39,51.03,1.45,3,6.9,4,6.69,10,male,25,no,hybrid,poor,excellent,no,high,F,1.92,At Risk
2.94,57.21,2.06,6,9.89,4,7.66,1,male,22,yes,hybrid,average,poor,no,high,B,3.29,Not At Risk
7.7,81.02,3.91,4,6.78,7,8.87,8,female,24,yes,hybrid,poor,average,no,middle,C,2.84,Not At Risk
7.69,58.12,2.27,1,6.12,7,9.83,2,male,20,no,hybrid,good,poor,yes,high,D,2.11,At Risk
11.86,72.84,2.51,3,6.35,0,8.24,10,male,26,yes,online,good,average,yes,high,A,4.0,Not At Risk
2.92,86.42,2.1,4,7.41,1,11.51,10,female,19,no,online,good,good,yes,middle,D,2.14,At Risk
5.53,70.81,3.29,1,6.71,10,7.45,9,male,20,yes,hybrid,average,good,no,middle,F,0.2,At Risk
6.26,47.64,3.04,0,8.99,7,3.65,8,female,23,no,hybrid,good,average,no,middle,D,2.01,At Risk
10.69,53.2,1.99,5,7.68,6,6.52,1,female,16,no,hybrid,good,good,no,high,A,3.78,Not At Risk
10.76,79.57,1.96,6,5.27,0,2.43,5,female,29,yes,offline,good,excellent,yes,middle,A,3.89,Not At Risk
8.45,73.7,3.35,1,8.77,6,9.99,7,female,18,yes,online,average,poor,yes,middle,C,2.91,Not At Risk
10.58,51.9,3.16,7,8.53,1,2.2,10,female,23,no,online,poor,good,yes,middle,A,3.96,Not At Risk
2.05,69.73,1.59,2,7.88,9,10.2,5,female,22,no,offline,poor,average,no,high,F,0.62,At Risk
1.02,70.03,2.86,3,5.31,0,0.71,10,female,22,no,hybrid,good,poor,no,middle,C,2.97,Not At Risk
4.64,66.24,3.89,5,4.24,0,9.16,2,male,28,no,online,average,poor,yes,low,A,3.91,Not At Risk
9.06,80.68,1.36,6,9.9,0,10.61,10,male,29,yes,offline,average,excellent,no,middle,A,3.96,Not At Risk
1.51,77.28,3.54,1,5.49,3,9.89,9,male,20,yes,offline,average,poor,yes,middle,F,0.28,At Risk
10.7,72.82,1.42,6,7.99,1,2.58,0,male,23,yes,hybrid,poor,excellent,no,low,A,3.87,Not At Risk
0.34,85.3,3.96,5,6.87,4,9.6,10,female,17,no,online,poor,poor,no,middle,D,2.35,At Risk
7.95,43.43,3.77,3,4.98,7,2.06,0,male,27,no,offline,average,poor,no,middle,B,3.18,Not At Risk
2.36,65.45,3.34,7,8.39,3,10.8,3,male,16,no,online,poor,excellent,no,middle,B,3.19,Not At Risk
9.95,49.61,1.15,4,6.03,8,7.47,5,male,27,no,online,good,average,no,high,D,2.38,At Risk
7.69,62.14,1.33,0,9.56,8,2.91,3,male,18,no,hybrid,average,good,no,high,D,2.01,At Risk
9.89,63.58,1.81,1,7.6,1,6.71,7,male,28,yes,online,average,good,yes,high,B,3.07,Not At Risk
3.58,54.72,1.09,5,5.99,8,0.65,10,female,26,no,offline,average,average,no,middle,F,1.64,At Risk
6.72,47.75,2.34,2,9.24,3,1.66,0,male,29,yes,online,poor,good,no,low,A,3.77,Not At Risk
5.06,67.84,3.76,7,9.42,5,0.99,10,male,28,no,online,poor,average,yes,low,B,3.41,Not At Risk
3.3,41.12,3.49,0,7.71,5,8.58,9,male,24,yes,online,poor,average,no,middle,F,0.4,At Risk
5.74,87.7,3.21,0,6.71,6,5.1,9,male,20,yes,offline,good,average,no,middle,D,2.39,At Risk
2.9,96.43,2.54,3,7.53,7,2.44,7,female,21,yes,offline,poor,good,yes,low,D,2.05,At Risk
2.15,60.56,3.26,7,5.81,8,3.06,2,male,16,yes,online,poor,good,yes,low,C,2.83,Not At Risk
7.06,64.6,2.34,6,5.21,3,11.64,7,female,20,no,offline,average,poor,no,low,C,2.54,Not At Risk
10.94,56.5,2.1,3,6.63,1,6.91,6,male,17,no,hybrid,poor,average,yes,low,A,3.63,Not At Risk
1.7,89.06,3.71,2,6.74,8,7.78,9,male,20,no,hybrid,poor,good,no,middle,F,0.7,At Risk
2.14,49.3,2.77,6,9.34,10,0.21,7,male,27,yes,online,good,excellent,yes,high,F,1.46,At Risk
11.8,99.02,3.22,1,4.69,9,3.53,6,female,22,yes,hybrid,poor,excellent,no,low,B,3.28,Not At Risk
10.84,58.56,1.47,2,4.09,7,3.6,2,female,18,no,online,good,poor,yes,high,B,3.25,Not At Risk
7.27,68.31,2.92,7,7.37,9,2.34,6,male,22,no,hybrid,average,poor,no,low,B,3.32,Not At Risk
2.19,93.63,2.23,1,5.03,8,3.8,6,male,23,yes,hybrid,poor,good,yes,middle,F,1.29,At Risk
11.65,99.0,3.18,1,6.77,3,5.58,8,male,22,no,hybrid,good,average,yes,high,A,3.6,Not At Risk
10.94,55.14,1.33,7,8.85,6,1.57,0,male,22,no,online,good,poor,yes,low,A,3.64,Not At Risk
7.66,70.28,3.66,2,9.89,10,0.38,3,female,28,no,offline,good,excellent,yes,high,B,3.09,Not At Risk
5.22,87.88,3.13,7,9.98,0,6.39,6,female,28,yes,offline,poor,poor,no,low,A,3.86,Not At Risk
9.8,81.98,3.96,3,9.83,2,9.34,4,female,17,no,online,good,good,no,low,A,3.68,Not At Risk
4.43,66.08,2.5,6,4.21,9,0.26,6,female,25,yes,hybrid,good,excellent,yes,low,D,2.16,At Risk
10.12,79.55,3.86,4,8.17,0,9.88,10,male,20,no,online,average,poor,no,middle,A,3.91,Not At Risk
7.24,86.44,3.47,7,6.65,2,4.07,2,male,21,no,online,good,excellent,yes,middle,A,3.89,Not At Risk
4.56,42.31,3.08,5,7.51,5,6.75,4,male,25,yes,online,average,average,no,middle,C,2.51,Not At Risk
0.8,89.22,3.11,5,9.72,10,8.75,8,female,18,yes,offline,average,average,yes,middle,F,0.7,At Risk
10.76,44.98,3.53,2,6.55,9,7.98,10,male,21,no,offline,good,average,yes,low,D,2.35,At Risk
9.13,87.62,2.87,5,6.59,8,5.82,3,male,26,yes,online,average,poor,no,middle,B,3.45,Not At Risk
10.03,93.09,1.05,6,5.57,0,0.76,7,male,23,no,offline,poor,good,no,high,A,3.86,Not At Risk
10.26,75.94,3.73,5,7.37,8,9.05,1,female,17,yes,offline,poor,excellent,yes,middle,A,3.87,Not At Risk
7.09,83.12,2.29,1,8.89,4,4.01,3,male,24,no,hybrid,average,excellent,no,middle,B,3.08,Not At Risk
0.59,97.03,2.83,7,9.33,5,2.15,7,female,20,yes,online,good,average,yes,middle,C,2.84,Not At Risk
0.69,47.44,1.37,1,9.97,5,7.85,2,male,16,no,online,good,good,yes,high,F,1.36,At Risk
8.73,61.41,2.5,4,5.58,9,9.92,0,female,26,no,hybrid,poor,poor,yes,low,C,2.5,Not At Risk
0.86,99.29,1.47,7,4.92,6,6.79,6,female,16,yes,hybrid,poor,excellent,no,low,D,2.22,At Risk
7.38,45.78,2.92,3,6.27,10,4.26,9,female,18,yes,online,poor,average,yes,high,F,0.08,At Risk
4.49,55.62,2.86,4,8.17,10,2.38,1,male,19,no,hybrid,good,excellent,yes,low,C,2.54,Not At Risk
9.87,78.43,3.35,0,4.55,10,0.05,10,female,27,no,hybrid,good,average,yes,middle,D,2.27,At Risk
2.12,52.24,2.7,4,8.1,8,0.32,8,female,18,yes,online,average,good,no,middle,F,0.98,At Risk
11.88,89.14,3.35,7,9.73,6,4.43,1,male,26,yes,hybrid,poor,average,no,middle,A,3.63,Not At Risk
10.52,77.32,1.31,3,8.63,8,6.05,8,female,22,yes,online,poor,good,no,high,C,2.81,Not At Risk
2.15,40.49,2.76,1,4.16,3,9.86,6,male,19,yes,offline,good,excellent,yes,low,F,0.37,At Risk
10.42,79.63,2.41,5,8.08,6,8.23,4,female,21,yes,offline,average,poor,no,middle,A,3.51,Not At Risk
11.59,48.0,2.08,3,7.93,1,11.63,5,male,21,yes,hybrid,good,good,no,high,A,3.77,Not At Risk
6.62,71.45,1.34,1,5.98,2,1.57,8,female,24,no,offline,average,good,yes,low,C,2.62,Not At Risk
3.68,42.43,1.94,2,8.81,6,5.58,7,male,21,yes,online,good,poor,no,low,F,1.33,At Risk
9.52,91.72,1.42,7,4.03,5,10.81,6,male,25,no,online,average,good,yes,middle,B,3.25,Not At Risk
6.59,86.1,3.0,7,7.52,2,5.59,6,female,28,yes,offline,poor,excellent,yes,middle,A,3.73,Not At Risk
1.69,72.39,3.02,5,9.69,6,4.58,4,male,23,no,hybrid,poor,poor,yes,high,C,2.54,Not At Risk
0.16,66.05,2.8,4,5.63,1,6.57,8,female,24,yes,online,poor,average,no,low,D,2.47,At Risk
10.2,95.97,2.8,4,7.84,10,9.78,5,female,27,no,hybrid,poor,average,no,middle,B,3.08,Not At Risk
10.1,90.57,1.15,6,9.91,9,4.58,2,female,23,yes,offline,good,good,yes,high,A,3.64,Not At Risk
0.87,65.24,3.75,5,5.27,6,9.44,3,male,19,yes,online,poor,good,no,low,D,2.16,At Risk
1.29,88.5,2.93,6,4.89,2,8.84,9,male,24,yes,online,poor,excellent,no,middle,C,2.98,Not At Risk
8.6,54.78,1.98,5,5.42,4,3.22,9,female,23,no,offline,average,good,no,low,C,2.57,Not At Risk
5.81,70.38,2.06,5,4.59,7,11.73,5,female,19,no,online,poor,poor,yes,low,D,2.16,At Risk
9.29,76.81,2.52,5,6.73,8,9.14,5,female,27,yes,offline,poor,excellent,no,middle,B,3.26,Not At Risk
11.9,94.69,3.41,0,4.85,10,6.98,7,male,20,yes,offline,poor,poor,yes,high,C,2.59,Not At Risk
3.63,91.13,3.15,4,4.52,6,10.27,4,male,18,no,offline,average,poor,no,high,C,2.94,Not At Risk
6.1,72.04,1.43,6,6.5,3,11.42,5,female,17,no,hybrid,good,excellent,no,high,C,2.55,Not At Risk
3.25,77.93,1.97,2,4.58,6,7.74,3,female,29,yes,hybrid,poor,good,yes,low,D,2.36,At Risk
1.94,87.67,3.71,3,8.58,0,1.56,9,male,21,no,online,poor,average,no,low,B,3.05,Not At Risk
0.64,65.47,2.63,6,8.55,10,4.84,3,male,20,no,online,poor,poor,yes,low,F,1.54,At Risk
5.12,86.38,2.53,4,4.63,9,6.13,6,male,26,yes,offline,poor,good,no,low,D,2.22,At Risk
0.74,82.67,2.66,0,7.72,4,8.92,9,male,18,yes,online,good,average,yes,high,F,1.07,At Risk
6.2,70.62,2.4,4,7.19,9,11.92,7,female,25,no,online,average,good,yes,low,F,0.36,At Risk
11.78,41.1,1.83,3,8.98,5,10.87,8,male,29,no,hybrid,good,excellent,yes,high,C,2.74,Not At Risk
8.76,63.0,2.64,1,4.86,4,10.22,7,female,16,no,online,good,average,no,middle,C,2.84,Not At Risk
7.62,68.07,2.89,2,7.24,4,5.09,1,male,17,no,online,average,good,no,middle,A,3.59,Not At Risk
5.19,84.23,3.38,7,6.85,8,4.03,9,female,28,yes,hybrid,good,good,no,low,C,2.96,Not At Risk
8.24,49.88,1.65,3,9.84,7,5.66,6,female,19,no,offline,average,poor,no,low,C,2.59,Not At Risk
1.71,52.59,3.14,5,5.42,7,11.25,7,male,17,yes,offline,average,average,yes,high,F,1.98,At Risk
0.74,55.74,1.33,7,8.29,4,8.67,4,male,19,no,hybrid,average,excellent,no,middle,D,2.36,At Risk
0.13,65.88,2.08,0,7.39,10,8.43,1,male,23,no,online,good,poor,yes,middle,F,0.27,At Risk
8.88,41.89,2.68,6,8.28,3,3.6,4,male,24,no,offline,average,average,yes,low,A,3.81,Not At Risk
4.98,79.93,1.82,1,8.57,8,4.29,4,female,27,yes,offline,poor,excellent,no,low,D,2.22,At Risk
10.53,55.3,2.72,3,9.79,4,11.5,8,male,21,yes,hybrid,average,good,no,low,B,3.31,Not At Risk
9.32,81.17,3.75,3,5.45,1,9.7,0,male,19,yes,offline,average,excellent,yes,high,A,3.96,Not At Risk
8.33,46.13,3.81,1,9.22,10,4.92,2,female,18,yes,online,poor,excellent,yes,low,C,2.73,Not At Risk
8.47,60.29,2.51,1,9.19,7,11.19,2,female,24,yes,offline,poor,poor,yes,high,C,2.58,Not At Risk
7.86,54.76,3.13,6,7.15,10,6.39,8,male,27,yes,online,poor,poor,no,high,D,2.16,At Risk
4.82,55.4,1.44,3,6.65,8,7.51,6,female,24,yes,offline,good,poor,yes,high,F,1.08,At Risk
4.84,79.07,2.28,5,8.59,2,2.85,8,female,17,yes,hybrid,average,excellent,yes,middle,B,3.34,Not At Risk
5.59,68.15,1.67,4,6.95,7,8.18,6,male,19,yes,offline,average,poor,no,high,D,2.25,At Risk
11.98,56.24,2.18,0,7.35,5,9.97,9,male,21,no,offline,average,average,yes,high,C,2.87,Not At Risk
7.73,81.69,2.13,1,9.83,7,2.18,1,female,18,yes,hybrid,good,poor,no,high,B,3.31,Not At Risk
11.54,86.96,3.46,3,4.09,7,4.89,5,male,23,yes,offline,average,average,no,high,A,3.97,Not At Risk
11.91,45.7,3.36,5,5.78,6,2.75,7,male,18,yes,hybrid,average,good,yes,low,A,3.51,Not At Risk
10.74,52.17,3.22,1,4.42,3,5.69,4,female,18,no,offline,good,excellent,yes,middle,A,3.88,Not At Risk
0.8,68.85,3.09,4,6.89,7,6.01,10,male,19,no,online,good,average,yes,high,F,1.9,At Risk
10.09,65.67,1.47,6,8.03,1,9.33,4,female,20,yes,online,good,poor,no,middle,A,3.76,Not At Risk
10.23,79.15,1.03,4,9.55,3,10.42,9,female,20,no,online,good,excellent,yes,low,B,3.15,Not At Risk
10.42,61.08,2.3,6,9.73,3,3.73,6,male,19,no,hybrid,poor,average,yes,middle,A,3.71,Not At Risk
6.95,59.33,3.89,3,5.29,8,9.18,8,female,17,no,online,average,good,yes,middle,D,2.27,At Risk
6.91,67.4,3.36,2,5.37,5,11.05,4,female,22,no,offline,good,excellent,yes,low,C,2.74,Not At Risk
2.32,40.6,2.09,4,4.13,7,0.83,10,male,21,no,hybrid,good,poor,yes,low,F,1.06,At Risk
10.23,87.21,2.79,1,4.09,1,11.35,3,male,18,yes,hybrid,average,excellent,yes,low,A,3.63,Not At Risk
2.73,68.82,1.13,0,8.82,4,5.21,6,male,27,yes,online,good,excellent,yes,low,F,1.42,At Risk
11.12,62.7,2.46,2,8.5,10,11.47,10,male,28,no,hybrid,poor,poor,no,low,D,2.24,At Risk
11.44,97.46,3.05,3,8.92,1,7.06,7,male,24,no,online,average,excellent,no,high,A,3.84,Not At Risk
0.56,53.51,3.15,0,9.31,9,6.53,0,female,17,yes,hybrid,poor,average,no,high,F,0.32,At Risk
4.16,41.48,1.03,4,4.01,1,2.99,10,female,22,yes,hybrid,good,poor,no,middle,D,2.12,At Risk
3.96,92.47,1.19,3,4.06,0,8.05,5,female,22,yes,online,average,good,no,middle,C,2.65,Not At Risk
6.3,92.09,1.59,4,7.58,9,10.8,2,male,24,no,online,average,good,no,low,D,2.02,At Risk
6.74,83.44,1.35,1,9.88,8,2.74,0,male,21,yes,hybrid,poor,good,yes,low,C,2.57,Not At Risk
5.83,57.2,1.28,1,8.6,2,0.39,3,male,18,yes,offline,average,average,yes,middle,B,3.05,Not At Risk
0.32,99.64,2.42,6,4.51,8,7.06,2,male,17,yes,offline,poor,poor,no,high,D,2.47,At Risk
11.97,53.85,3.52,0,9.24,6,1.94,2,female,16,no,offline,average,good,no,high,A,3.99,Not At Risk
2.79,78.71,2.87,4,4.16,0,6.84,1,male,20,no,online,poor,poor,no,high,A,3.65,Not At Risk
2.1,42.57,1.46,6,5.39,2,2.63,10,female,27,no,hybrid,good,good,yes,low,D,2.31,At Risk
1.59,44.37,2.47,4,5.26,1,10.45,6,male,28,no,offline,good,poor,no,low,D,2.23,At Risk
9.84,70.45,3.41,6,8.83,10,2.58,8,male,25,no,offline,poor,good,yes,high,B,3.15,Not At Risk
2.96,54.9,1.14,6,4.31,5,8.72,2,male,18,no,offline,average,good,no,high,D,2.23,At Risk
3.52,57.09,3.28,2,7.7,2,8.63,7,female,26,no,hybrid,good,average,yes,middle,C,2.51,Not At Risk
3.57,62.49,1.38,1,6.71,7,6.87,1,male,22,no,hybrid,average,good,yes,high,D,2.22,At Risk
4.43,48.83,1.87,5,6.63,6,1.39,8,male,20,no,online,good,poor,no,middle,D,2.15,At Risk
5.63,77.65,3.91,2,7.65,8,7.33,5,female,19,no,hybrid,average,good,no,high,C,2.88,Not At Risk
2.98,47.7,1.99,0,5.04,4,2.05,6,male,22,yes,offline,poor,poor,no,high,F,0.32,At Risk
7.14,68.44,2.7,3,9.03,6,7.92,3,male,18,yes,hybrid,poor,good,no,low,B,3.04,Not At Risk
6.71,43.12,3.67,0,7.33,4,5.46,0,female,22,yes,online,average,average,yes,high,B,3.48,Not At Risk
0.55,78.69,3.05,5,6.61,6,2.46,7,male,27,no,hybrid,average,average,no,high,D,2.18,At Risk
3.02,49.36,2.55,5,8.7,1,3.4,0,male,26,yes,online,good,good,yes,middle,A,3.75,Not At Risk
4.36,58.91,3.41,4,8.86,7,11.87,0,female,28,yes,hybrid,good,poor,no,high,C,2.66,Not At Risk
1.95,53.08,3.14,4,8.08,1,9.17,8,male,20,no,hybrid,good,poor,no,high,C,2.83,Not At Risk
7.19,44.89,1.16,7,6.76,10,3.53,7,female,25,no,online,poor,good,no,middle,D,2.08,At Risk
2.63,48.13,3.82,3,8.84,4,11.22,7,female,19,no,hybrid,poor,excellent,no,middle,D,2.15,At Risk
0.68,44.65,2.28,1,9.63,6,8.37,3,male,26,no,hybrid,poor,good,no,high,F,1.11,At Risk
6.89,69.06,3.77,2,8.97,7,5.87,5,female,26,no,hybrid,good,poor,yes,middle,B,3.02,Not At Risk
8.9,94.55,2.41,6,6.67,4,2.32,10,male,27,no,hybrid,good,average,yes,middle,A,3.88,Not At Risk
6.03,83.84,1.2,0,5.48,5,7.57,5,male,20,no,hybrid,average,average,yes,high,D,2.45,At Risk
1.6,61.51,1.49,6,6.35,3,3.68,9,male,25,yes,online,poor,average,yes,high,D,2.14,At Risk
8.18,87.74,1.4,6,9.27,9,9.08,7,female,17,no,online,poor,excellent,no,low,C,2.74,Not At Risk
11.06,66.63,1.37,4,8.57,9,8.66,5,female,27,no,online,poor,excellent,no,low,C,2.73,Not At Risk
10.79,89.16,1.63,1,9.87,10,1.04,7,male,26,no,hybrid,average,poor,yes,middle,C,2.79,Not At Risk
6.07,42.97,1.61,3,5.33,3,3.15,2,female,24,no,online,good,average,yes,high,B,3.16,Not At Risk
9.23,58.79,3.59,4,6.69,1,6.36,9,male,16,yes,online,poor,excellent,yes,low,A,3.87,Not At Risk
6.46,48.48,2.19,6,4.56,1,7.39,2,male,20,no,online,average,excellent,no,low,A,3.72,Not At Risk
6.62,66.5,3.55,1,7.83,10,3.12,7,male,26,no,offline,average,average,yes,middle,D,2.07,At Risk
11.77,93.16,2.4,0,4.91,6,9.86,3,male,22,yes,online,poor,average,no,low,B,3.01,Not At Risk
6.83,80.09,1.16,0,8.79,3,2.83,9,male,23,yes,hybrid,poor,excellent,no,middle,C,2.72,Not At Risk
9.39,71.68,3.6,6,7.23,7,4.35,9,male,26,yes,offline,poor,poor,no,middle,B,3.46,Not At Risk
4.18,91.68,2.4,3,7.98,2,5.11,6,male,18,yes,online,poor,average,no,high,B,3.24,Not At Risk
3.9,71.12,2.99,0,7.71,0,11.34,2,male,28,yes,offline,poor,average,yes,low,B,3.33,Not At Risk
10.67,45.74,1.23,5,4.71,7,4.98,10,male,18,yes,online,poor,excellent,yes,middle,D,2.48,At Risk
11.09,64.54,2.58,3,7.06,8,3.37,6,female,28,no,offline,average,good,no,middle,B,3.46,Not At Risk
10.57,72.51,1.58,6,4.52,0,3.88,5,male,22,yes,hybrid,average,poor,yes,low,A,3.52,Not At Risk
7.98,55.76,2.08,2,4.24,4,7.51,4,male,20,yes,offline,good,excellent,yes,middle,C,2.69,Not At Risk
3.44,73.75,3.14,1,8.25,9,2.85,4,female,27,no,online,average,good,no,low,D,2.17,At Risk
8.86,43.17,3.1,5,9.85,0,7.45,3,male,21,yes,online,poor,excellent,yes,middle,A,3.88,Not At Risk
3.86,85.81,1.04,4,4.37,10,11.12,2,male,25,yes,offline,average,poor,yes,middle,F,0.44,At Risk
5.97,83.33,3.31,3,7.16,2,0.08,10,male,25,yes,hybrid,good,good,no,high,B,3.01,Not At Risk
9.49,89.93,1.57,7,5.82,10,4.94,1,female,26,no,offline,average,excellent,no,low,B,3.08,Not At Risk
4.27,95.25,1.54,2,9.38,5,10.21,1,male,23,no,hybrid,average,good,no,middle,C,2.64,Not At Risk
2.3,84.42,2.16,0,7.69,1,3.72,3,female,18,yes,offline,poor,poor,no,middle,B,3.13,Not At Risk
2.68,77.46,1.93,4,4.73,6,7.43,5,female,29,yes,hybrid,good,excellent,yes,low,D,2.11,At Risk
1.12,79.05,3.8,6,9.42,5,4.98,5,female,25,no,hybrid,good,average,no,low,B,3.36,Not At Risk
9.12,41.75,2.26,7,9.77,7,10.17,8,female,16,no,offline,good,poor,no,middle,C,2.93,Not At Risk
10.08,46.84,3.81,1,9.11,8,11.33,2,male,26,no,online,average,excellent,yes,middle,B,3.36,Not At Risk
10.18,96.59,1.77,3,6.3,5,5.17,0,male,25,yes,hybrid,good,good,yes,high,A,3.85,Not At Risk
10.2,64.87,1.64,3,6.46,2,8.68,1,female,28,yes,hybrid,good,average,no,middle,A,3.88,Not At Risk
10.51,87.07,3.08,7,8.76,0,7.87,7,female,28,no,hybrid,poor,excellent,yes,middle,A,3.83,Not At Risk
2.22,40.66,1.21,1,4.17,1,8.4,10,female,26,yes,online,good,poor,no,high,F,0.97,At Risk
6.2,68.66,2.31,7,4.7,6,2.03,3,female,28,no,online,average,good,yes,low,B,3.42,Not At Risk
9.39,74.77,2.29,7,8.3,3,1.56,3,female,17,yes,online,average,poor,no,low,A,3.63,Not At Risk
9.29,46.72,3.7,4,5.32,2,6.8,4,male,21,no,hybrid,good,poor,no,high,A,3.79,Not At Risk
6.83,96.57,1.87,3,6.65,8,1.94,4,male,19,no,offline,poor,average,no,middle,C,2.71,Not At Risk
9.04,92.21,3.68,0,4.74,2,7.89,8,male,23,no,offline,good,good,no,middle,B,3.06,Not At Risk
6.48,93.29,3.71,2,9.12,5,3.73,0,female,18,no,hybrid,good,excellent,no,middle,A,3.71,Not At Risk
6.92,50.31,1.02,3,6.77,7,9.35,6,female,23,no,online,poor,excellent,no,low,F,0.43,At Risk
2.12,87.16,3.53,1,6.35,0,11.19,0,female,25,yes,online,good,excellent,yes,low,B,3.2,Not At Risk
8.94,75.31,1.44,0,4.13,1,1.4,1,male,16,yes,offline,average,average,no,high,A,3.68,Not At Risk
3.47,68.86,3.76,4,9.15,9,9.0,5,female,18,yes,online,average,good,no,high,D,2.2,At Risk
7.32,65.41,3.64,1,8.52,8,0.99,0,male,29,no,offline,good,poor,yes,high,B,3.11,Not At Risk
0.14,58.32,3.56,0,9.83,6,4.17,6,male,23,no,offline,average,good,no,low,F,1.87,At Risk
3.87,40.44,2.53,1,9.78,4,8.28,0,male,17,yes,hybrid,average,average,yes,high,C,2.81,Not At Risk
2.94,79.14,1.88,5,6.91,9,2.85,6,male,23,no,hybrid,good,average,yes,middle,D,2.38,At Risk
7.99,77.23,2.57,6,5.35,2,6.95,5,male,21,no,online,poor,poor,no,high,A,3.57,Not At Risk
6.22,71.35,3.47,5,5.59,6,4.2,0,female,28,yes,offline,good,excellent,no,middle,A,3.69,Not At Risk
7.78,95.14,2.56,7,9.11,7,1.4,4,female,28,no,hybrid,poor,poor,yes,low,A,3.99,Not At Risk
9.25,79.72,3.87,2,7.86,2,7.6,5,female,29,no,hybrid,good,good,yes,middle,A,3.81,Not At Risk
9.27,55.26,2.35,1,6.83,1,1.31,10,male,27,no,online,good,poor,yes,low,B,3.11,Not At Risk
10.71,62.89,2.55,5,8.88,5,1.5,6,male,19,no,offline,good,average,no,high,A,3.81,Not At Risk
3.5,94.54,3.3,1,9.98,1,1.08,3,female,20,yes,online,good,excellent,no,middle,A,3.66,Not At Risk
10.76,44.21,1.54,2,9.58,7,1.22,0,female,29,no,online,average,average,yes,middle,A,3.74,Not At Risk
10.62,46.51,3.87,2,8.62,3,5.48,2,male,22,no,hybrid,average,average,yes,low,A,3.85,Not At Risk
1.04,85.34,3.74,0,6.75,3,3.29,3,female,27,no,online,average,average,no,high,C,2.8,Not At Risk
8.71,65.81,3.03,0,6.35,3,9.81,5,female,23,yes,offline,average,good,yes,high,B,3.33,Not At Risk
3.0,74.9,3.37,7,6.61,1,3.42,4,female,17,no,online,good,good,yes,high,A,3.66,Not At Risk
10.84,42.36,1.64,0,7.0,6,3.24,8,female,17,yes,offline,good,excellent,yes,middle,D,2.35,At Risk
7.38,44.63,1.91,7,5.37,10,8.74,10,male,20,no,offline,average,good,yes,low,F,1.68,At Risk
0.25,68.66,3.8,1,6.9,9,11.39,7,female,29,yes,hybrid,average,excellent,no,middle,F,1.95,At Risk
11.66,95.79,2.89,3,6.41,4,3.38,8,female,24,no,offline,average,good,no,high,A,3.74,Not At Risk
6.76,46.4,1.2,1,7.49,3,3.32,9,female,18,no,offline,poor,average,no,middle,D,2.04,At Risk
7.12,85.06,2.22,4,8.86,9,5.09,9,male,26,yes,hybrid,average,good,no,high,D,2.34,At Risk
